id_car,cod_car,comment_det
51,KAW927,El coche se ve como nuevo despues de lavarlo                                 
52,JYZ034,Necesito cambiar las pastillas de freno antes de que sea tarde               
53,QOB385,La pintura del auto parece desvanecida por el sol                            
54,VHC782,El ruido en el motor es cada vez mas fuerte                                  
55,PMR469,Me encanta como se siente el volante en mis manos                            
56,GKY156,El nivel de aceite esta bajo, tengo que agregar mas                          
57,RXJ752,Necesito un cambio de aceite pronto                                          
58,FBU824,El aire acondicionado no funciona tan bien como solia hacerlo                
59,NSQ219,El olor a gasolina es un poco abrumador                                      
60,DPG637,Debo revisar los neumaticos antes de salir a la carretera                    
61,BNC896,El parabrisas tiene una grieta que necesito reparar                          
62,XIL593,El sistema de sonido es impresionante                                        
63,ZPF470,El asiento del conductor esta un poco desgastado                             
64,LXM309,El odometro ha superado los 100,000 kilometros                               
65,WVT714,El coche necesita una buena limpieza en el interior                          
66,EJT632,El freno de mano necesita ajustarse                                          
67,ADF881,El indicador de combustible no funciona correctamente                        
68,TKG453,El coche tiene un pequeno rasguno en el costado                              
69,HMQ268,El olor a humo de cigarrillo en el interior es dificil de quitar             
70,UYO527,Los cinturones de seguridad necesitan ser reemplazados                       
71,CEN746,El maletero esta lleno de cosas que deberia haber sacado hace tiempo         
72,IRL971,El coche se desacelera un poco en las colinas                                
73,OUX842,El volante tiembla un poco cuando conduzco a alta velocidad                  
74,MWP195,El cambio de marchas es un poco dificil                                      
75,YBN406,Los frenos chirrian al frenar en seco                                        
76,SVD053,El espejo retrovisor necesita ser ajustado                                   
77,KJH631,El coche necesita una alineacion de las ruedas                               
78,QPL749,El aire acondicionado emite un olor extrano                                  
79,FXR287,El coche consume demasiado combustible                                       
80,NVU514,Los asientos traseros no se pliegan correctamente                            
81,GDO426,El motor tarda un poco en arrancar por las mananas                           
82,RXZ763,El coche necesita una nueva bateria                                          
83,WSL350,El sonido del motor suena un poco extrano                                    
84,BFT691,El sistema de navegacion necesita una actualizacion                          
85,XPU507,El coche tiene problemas para arrancar en frio                               
86,LME864,El cinturon de seguridad del asiento del conductor no se ajusta correctamente
87,ZNG583,El coche necesita una nueva suspension                                       
88,JCR240,El espejo retrovisor interior tiene una mancha que no se puede quitar        
89,UHK962,La alarma del coche se dispara sin motivo aparente                           
90,DOA508,El sistema de frenos necesita una revision completa                          
91,VJT357,El coche se inclina hacia un lado cuando estoy conduciendo                   
92,NIF841,El sensor de aparcamiento no funciona correctamente                          
93,EYG526,El coche necesita una nueva junta de la tapa del motor                       
94,TYO609,El nivel de refrigerante es bajo                                             
95,AHQ743,El coche se desvia hacia la derecha al frenar                                
96,KZW312,El coche tiene un pequeno rasguno en el parachoques trasero                  
97,SXL465,La suspension trasera hace un ruido extrano al pasar por baches              
98,PWB238,El coche se tambalea un poco al girar a la izquierda                         
99,CDM179,El sistema de escape hace un ruido raro                                   
100,IPU970,No tiene un asiento
